interval,value
2022-01-01,71.46609182742012
2022-01-02,44.201543890906855
2022-01-03,4.042231330804369
2022-01-04,13.801304958957747
2022-01-05,24.915979747738767
2022-01-06,42.5846461596034
2022-01-07,50.613264765996824
2022-01-08,39.91247682455578
2022-01-09,48.16984279717171
2022-01-10,71.20629485073113
2022-01-11,49.61468576235265
2022-01-12,12.19288443176529
2022-01-13,34.09932243190498
2022-01-14,76.953547928614
2022-01-15,48.95991893808628
2022-01-16,57.64903987983678
2022-01-17,60.10524992824036
2022-01-18,10.54244726910421
2022-01-19,-11.385976799243121
2022-01-20,20.03404612619292
2022-01-21,32.998921686658974
2022-01-22,41.87457459285515
2022-01-23,56.14422952343622
2022-01-24,87.64418233212096
2022-01-25,111.48791898042114
2022-01-26,102.03303440981968
2022-01-27,82.15966125022887
2022-01-28,100.08402232221573
2022-01-29,35.83793799162977
2022-01-30,79.71142549006146
2022-01-31,580.2209451838139
2022-02-01,28.648424306366092
2022-02-02,27.027380622885012
2022-02-03,36.00141872237222
2022-02-04,35.18937215109406
2022-02-05,34.0066637809196
2022-02-06,30.585387103917995
2022-02-07,67.2853538087819
2022-02-08,78.38469866565427
2022-02-09,86.58745100860914
2022-02-10,63.03768620107794
2022-02-11,26.58692017759306
2022-02-12,45.11614993000837
2022-02-13,48.3740925753947
2022-02-14,91.73950319810724
2022-02-15,96.30801606637046
2022-02-16,112.90310172567547
2022-02-17,64.72573151926943
2022-02-18,44.97841512895304
2022-02-19,57.446557512705034
2022-02-20,45.40054882840008
2022-02-21,27.31703353601696
2022-02-22,53.05451547716583
2022-02-23,93.0812346025818
2022-02-24,84.95846900014878
2022-02-25,36.09811011148564
2022-02-26,35.900926689423436
2022-02-27,70.01232113855936
2022-02-28,68.3542974126023
2022-03-01,94.0278503362946
2022-03-02,77.81871768133594
2022-03-03,80.35914863868808
2022-03-04,92.82317153477209
2022-03-05,14.898837644547116
2022-03-06,-24.598122948705957
2022-03-07,24.059226753430714
2022-03-08,-10.839919796456
2022-03-09,-3.130132234037082
2022-03-10,41.374095146494426
2022-03-11,67.46864225891825
2022-03-12,42.57775068661653
2022-03-13,44.704683609693
2022-03-14,49.74529224548347
2022-03-15,72.94332984805207
2022-03-16,61.91406418340389
2022-03-17,103.69786316819739
2022-03-18,64.82843607857657
2022-03-19,65.71989951200732
2022-03-20,82.1976191732352
2022-03-21,112.5550300203215
2022-03-22,100.80951060626928
2022-03-23,40.41609135413928
2022-03-24,57.38477792045884
2022-03-25,44.41005736496184
2022-03-26,65.79974061216657
2022-03-27,65.57986850900336
2022-03-28,93.95942493778368
2022-03-29,90.40000490696183
2022-03-30,49.048490588487304
2022-03-31,25.591145177425794
2022-04-01,27.363306901358797
2022-04-02,99.42294842739173
2022-04-03,177.343109173344
2022-04-04,245.4248914625461
2022-04-05,240.05426482062722
2022-04-06,205.58712478699138
2022-04-07,120.98371163490164
2022-04-08,176.22457924361026
2022-04-09,60.685654241916744
2022-04-10,63.54730672829374
2022-04-11,139.21330416750547
2022-04-12,128.14275055770366
2022-04-13,115.85405270555675
2022-04-14,134.5859184423673
2022-04-15,118.47189170275063
2022-04-16,108.25994916347251
2022-04-17,39.30997547967252
2022-04-18,187.2602160371999
2022-04-19,195.99034695645318
2022-04-20,179.69341548685207
2022-04-21,214.318153343925
2022-04-22,122.07730707055933
2022-04-23,116.21250093319131
2022-04-24,115.14259776516906
2022-04-25,136.1816512467758
2022-04-26,202.58775518015133
2022-04-27,224.92831717176992
2022-04-28,195.19367038506317
2022-04-29,201.7192472926876
2022-04-30,114.11439287617694
2022-05-01,154.53442374397133
2022-05-02,160.55547169407888
2022-05-03,64.67159967042959
2022-05-04,198.11769560911506
2022-05-05,247.84285273799335
2022-05-06,242.56915705018977
2022-05-07,143.92166573100332
2022-05-08,220.3275400854696
2022-05-09,284.2085596167082
2022-05-10,235.79593338030563
2022-05-11,270.1531712885603
2022-05-12,322.2540036303807
2022-05-13,323.8844441441695
2022-05-14,211.3528092698568
2022-05-15,82.53231778594804
2022-05-16,176.4788819073111
2022-05-17,187.67753460987154
2022-05-18,166.25932230836452
2022-05-19,281.7908921893298
2022-05-20,238.45685598744598
2022-05-21,239.18778506439142
2022-05-22,269.95917555916327
2022-05-23,310.3558578540626
2022-05-24,282.8388102048183
2022-05-25,258.4960584514095
2022-05-26,309.390773495478
2022-05-27,355.20632075747267
2022-05-28,322.58308161750995
2022-05-29,295.9160236491511
2022-05-30,355.7477801865437
2022-05-31,245.3881411932838
2022-06-01,390.0170718142146
2022-06-02,660.5397917974556
2022-06-03,374.62248731554536
2022-06-04,217.34181095489186
2022-06-05,195.0184381422624
2022-06-06,250.18054291811427
2022-06-07,305.5680155840487
2022-06-08,393.22156318566414
2022-06-09,257.28218607839847
2022-06-10,291.823704791668
2022-06-11,197.5384208951453
2022-06-12,330.9761678430638
2022-06-13,756.203070918314
2022-06-14,230.02052989196494
2022-06-15,200.57524966327708
2022-06-16,230.42173748425077
2022-06-17,238.60967018927045
2022-06-18,201.61537981956428
2022-06-19,205.22016509758814
2022-06-20,235.28975310759913
2022-06-21,255.09475742158537
2022-06-22,256.49429728581293
2022-06-23,207.7552363632084
2022-06-24,284.09763148959945
2022-06-25,213.78253980360685
2022-06-26,255.60012186334978
2022-06-27,519.543811002502
2022-06-28,373.29846577485023
2022-06-29,342.2044472747401
2022-06-30,435.4254771935702
2022-07-01,438.9959631311411
2022-07-02,379.15459159664294
2022-07-03,234.4834895726289
2022-07-04,209.2190624807013
2022-07-05,294.19687977663915
2022-07-06,454.3432778249577
2022-07-07,308.6688310127777
2022-07-08,295.1856503076564
2022-07-09,459.4610070418634
2022-07-10,337.6706295046017
2022-07-11,388.3381597683751
2022-07-12,699.5334951502109
2022-07-13,515.9475933580673
2022-07-14,796.0847504238753
2022-07-15,527.228618476025
2022-07-16,156.58762854323618
2022-07-17,141.84494024284936
2022-07-18,434.4360423352212
2022-07-19,475.3479427996626
2022-07-20,449.15326817995054
2022-07-21,356.355039280894
2022-07-22,240.04048883958234
2022-07-23,285.3496670859985
2022-07-24,242.39282583655952
2022-07-25,280.3907899462572
2022-07-26,250.95523066864362
2022-07-27,323.01560085138743
2022-07-28,429.9997233280208
2022-07-29,364.0354685614038
2022-07-30,137.31855306787563
2022-07-31,100.07445404007993
2022-08-01,63.91895237312237
2022-08-02,38.09871288364468
2022-08-03,-14.09793744230517
2022-08-04,5.165263069670551
2022-08-05,68.85345330337516
2022-08-06,150.2438961655245
2022-08-07,205.93231927432572
